disease,symptoms,description,precaution_1,precaution_2,precaution_3,precaution_4,precautions,severity_score,risk_level
chronic cholestasis,"['itching', 'vomiting', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",23,high
chronic cholestasis,"['itching', 'vomiting', 'yellowish_skin', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",21,high
chronic cholestasis,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'abdominal_pain', 'yellowing_of_eyes']","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",22,high
chronic cholestasis,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes']","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",22,high
chronic cholestasis,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain']","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",22,high
chronic cholestasis,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",26,high
chronic cholestasis,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain', 'yellowing_of_eyes']","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",cold baths,anti itch medicine,consult doctor,eat healthy,"['cold baths', 'anti itch medicine', 'consult doctor', 'eat healthy']",26,high
drug reaction,"['itching', 'skin_rash', 'stomach_pain', 'burning_micturition', 'spotting_ urination']",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",15,medium
drug reaction,"['itching', 'stomach_pain', 'burning_micturition', 'spotting_ urination']",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",12,medium
drug reaction,"['itching', 'skin_rash', 'burning_micturition', 'spotting_ urination']",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",10,medium
drug reaction,"['itching', 'skin_rash', 'stomach_pain', 'spotting_ urination']",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",9,low
drug reaction,"['itching', 'skin_rash', 'stomach_pain', 'burning_micturition']",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",15,medium
drug reaction,"['skin_rash', 'stomach_pain', 'burning_micturition', 'spotting_ urination']",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",14,medium
drug reaction,"['itching', 'stomach_pain', 'burning_micturition', 'spotting_ urination']",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",12,medium
drug reaction,"['itching', 'skin_rash', 'burning_micturition', 'spotting_ urination']",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",10,medium
drug reaction,"['itching', 'skin_rash', 'stomach_pain', 'spotting_ urination']",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",9,low
drug reaction,"['itching', 'skin_rash', 'stomach_pain', 'burning_micturition']",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,stop irritation,consult nearest hospital,stop taking drug,follow up,"['stop irritation', 'consult nearest hospital', 'stop taking drug', 'follow up']",15,medium
peptic ulcer diseae,"['vomiting', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",22,high
peptic ulcer diseae,"['vomiting', 'indigestion', 'abdominal_pain', 'passage_of_gases', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",23,high
peptic ulcer diseae,"['indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",22,high
peptic ulcer diseae,"['vomiting', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",22,high
peptic ulcer diseae,"['vomiting', 'indigestion', 'abdominal_pain', 'passage_of_gases', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",23,high
peptic ulcer diseae,"['vomiting', 'indigestion', 'loss_of_appetite', 'passage_of_gases', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",23,high
peptic ulcer diseae,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",22,high
peptic ulcer diseae,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",23,high
peptic ulcer diseae,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",27,high
peptic ulcer diseae,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching']","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.",avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,"['avoid fatty spicy food', 'consume probiotic food', 'eliminate milk', 'limit alcohol']",27,high
aids,"['muscle_wasting', 'patches_in_throat', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",21,high
aids,"['patches_in_throat', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",18,medium
aids,"['muscle_wasting', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",15,medium
aids,"['muscle_wasting', 'patches_in_throat', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",14,medium
aids,"['muscle_wasting', 'patches_in_throat', 'high_fever']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",16,medium
aids,"['muscle_wasting', 'patches_in_throat', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",21,high
aids,"['muscle_wasting', 'patches_in_throat', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",21,high
aids,"['patches_in_throat', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",18,medium
aids,"['muscle_wasting', 'high_fever', 'extra_marital_contacts']","Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",avoid open cuts,wear ppe if possible,consult doctor,follow up,"['avoid open cuts', 'wear ppe if possible', 'consult doctor', 'follow up']",15,medium
